"Fecha","Valor"
"01/01/2019","31,06"
"02/01/2019","31,06"
"03/01/2019","31,22"
"04/01/2019","31,25"
"05/01/2019","31,29"
"06/01/2019","31,29"
"07/01/2019","31,29"
"08/01/2019","31,38"
"09/01/2019","31,41"
"10/01/2019","31,45"
"11/01/2019","31,48"
"12/01/2019","31,51"
"13/01/2019","31,51"
"14/01/2019","31,51"
"15/01/2019","31,61"
"16/01/2019","31,64"
"17/01/2019","31,66"
"18/01/2019","31,69"
"19/01/2019","31,72"
"20/01/2019","31,72"
"21/01/2019","31,72"
"22/01/2019","31,80"
"23/01/2019","31,82"
"24/01/2019","31,85"
"25/01/2019","31,87"
"26/01/2019","31,90"
"27/01/2019","31,90"
"28/01/2019","31,90"
"29/01/2019","31,98"
"30/01/2019","32,01"
"31/01/2019","32,03"
"01/02/2019","32,06"
"02/02/2019","32,09"
"03/02/2019","32,09"
"04/02/2019","32,09"
"05/02/2019","32,17"
"06/02/2019","32,19"
"07/02/2019","32,22"
"08/02/2019","32,25"
"09/02/2019","32,27"
"10/02/2019","32,27"
"11/02/2019","32,27"
"12/02/2019","32,35"
"13/02/2019","32,38"
"14/02/2019","32,41"
"15/02/2019","32,43"
"16/02/2019","32,46"
"17/02/2019","32,46"
"18/02/2019","32,46"
"19/02/2019","32,56"
"20/02/2019","32,59"
"21/02/2019","32,63"
"22/02/2019","32,66"
"23/02/2019","32,69"
"24/02/2019","32,69"
"25/02/2019","32,69"
"26/02/2019","32,79"
"27/02/2019","32,83"
"28/02/2019","32,86"
"01/03/2019","32,89"
"02/03/2019","32,93"
"03/03/2019","32,93"
"04/03/2019","32,93"
"05/03/2019","32,93"
"06/03/2019","32,93"
"07/03/2019","33,10"
"08/03/2019","33,13"
"09/03/2019","33,16"
"10/03/2019","33,16"
"11/03/2019","33,16"
"12/03/2019","33,27"
"13/03/2019","33,30"
"14/03/2019","33,33"
"15/03/2019","33,37"
"16/03/2019","33,40"
"17/03/2019","33,40"
"18/03/2019","33,40"
"19/03/2019","33,52"
"20/03/2019","33,56"
"21/03/2019","33,60"
"22/03/2019","33,64"
"23/03/2019","33,68"
"24/03/2019","33,68"
"25/03/2019","33,68"
"26/03/2019","33,81"
"27/03/2019","33,85"
"28/03/2019","33,89"
"29/03/2019","33,93"
"30/03/2019","33,97"
"31/03/2019","33,97"
"01/04/2019","33,97"
"02/04/2019","34,09"
"03/04/2019","34,09"
"04/04/2019","34,17"
"05/04/2019","34,22"
"06/04/2019","34,26"
"07/04/2019","34,26"
"08/04/2019","34,26"
"09/04/2019","34,38"
"10/04/2019","34,42"
"11/04/2019","34,46"
"12/04/2019","34,50"
"13/04/2019","34,55"
"14/04/2019","34,55"
"15/04/2019","34,55"
"16/04/2019","34,67"
"17/04/2019","34,72"
"18/04/2019","34,78"
"19/04/2019","34,78"
"20/04/2019","34,78"
"21/04/2019","34,78"
"22/04/2019","34,78"
"23/04/2019","35,04"
"24/04/2019","35,10"
"25/04/2019","35,15"
"26/04/2019","35,21"
"27/04/2019","35,26"
"28/04/2019","35,26"
"29/04/2019","35,26"
"30/04/2019","35,42"
"01/05/2019","35,48"
"02/05/2019","35,48"
"03/05/2019","35,59"
"04/05/2019","35,64"
"05/05/2019","35,64"
"06/05/2019","35,64"
"07/05/2019","35,80"
"08/05/2019","35,86"
"09/05/2019","35,91"
"10/05/2019","35,97"
"11/05/2019","36,02"
"12/05/2019","36,02"
"13/05/2019","36,02"
"14/05/2019","36,19"
"15/05/2019","36,25"
"16/05/2019","36,30"
"17/05/2019","36,34"
"18/05/2019","36,38"
"19/05/2019","36,38"
"20/05/2019","36,38"
"21/05/2019","36,50"
"22/05/2019","36,54"
"23/05/2019","36,58"
"24/05/2019","36,62"
"25/05/2019","36,65"
"26/05/2019","36,65"
"27/05/2019","36,65"
"28/05/2019","36,77"
"29/05/2019","36,81"
"30/05/2019","36,85"
"31/05/2019","36,89"
"01/06/2019","36,93"
"02/06/2019","36,93"
"03/06/2019","36,93"
"04/06/2019","37,05"
"05/06/2019","37,09"
"06/06/2019","37,13"
"07/06/2019","37,17"
"08/06/2019","37,21"
"09/06/2019","37,21"
"10/06/2019","37,21"
"11/06/2019","37,33"
"12/06/2019","37,37"
"13/06/2019","37,41"
"14/06/2019","37,45"
"15/06/2019","37,49"
"16/06/2019","37,49"
"17/06/2019","37,49"
"18/06/2019","37,49"
"19/06/2019","37,65"
"20/06/2019","37,69"
"21/06/2019","37,69"
"22/06/2019","37,76"
"23/06/2019","37,76"
"24/06/2019","37,76"
"25/06/2019","37,88"
"26/06/2019","37,92"
"27/06/2019","37,96"
"28/06/2019","38,00"
"29/06/2019","38,03"
"30/06/2019","38,03"
"01/07/2019","38,03"
"02/07/2019","38,15"
"03/07/2019","38,19"
"04/07/2019","38,23"
"05/07/2019","38,27"
"06/07/2019","38,31"
"07/07/2019","38,31"
"08/07/2019","38,31"
"09/07/2019","38,31"
"10/07/2019","38,31"
"11/07/2019","38,50"
"12/07/2019","38,54"
"13/07/2019","38,58"
"14/07/2019","38,58"
"15/07/2019","38,58"
"16/07/2019","38,70"
"17/07/2019","38,73"
"18/07/2019","38,76"
"19/07/2019","38,80"
"20/07/2019","38,83"
"21/07/2019","38,83"
"22/07/2019","38,83"
"23/07/2019","38,93"
"24/07/2019","38,97"
"25/07/2019","39,00"
"26/07/2019","39,03"
"27/07/2019","39,07"
"28/07/2019","39,07"
"29/07/2019","39,07"
"30/07/2019","39,17"
"31/07/2019","39,20"
"01/08/2019","39,23"
"02/08/2019","39,27"
"03/08/2019","39,30"
"04/08/2019","39,30"
"05/08/2019","39,30"
"06/08/2019","39,40"
"07/08/2019","39,44"
"08/08/2019","39,47"
"09/08/2019","39,50"
"10/08/2019","39,54"
"11/08/2019","39,54"
"12/08/2019","39,54"
"13/08/2019","39,64"
"14/08/2019","39,67"
"15/08/2019","39,71"
"16/08/2019","39,74"
"17/08/2019","39,77"
"18/08/2019","39,77"
"19/08/2019","39,77"
"20/08/2019","39,77"
"21/08/2019","39,88"
"22/08/2019","39,91"
"23/08/2019","39,94"
"24/08/2019","39,97"
"25/08/2019","39,97"
"26/08/2019","39,97"
"27/08/2019","40,05"
"28/08/2019","40,08"
"29/08/2019","40,11"
"30/08/2019","40,14"
"31/08/2019","40,16"
"01/09/2019","40,16"
"02/09/2019","40,16"
"03/09/2019","40,25"
"04/09/2019","40,28"
"05/09/2019","40,31"
"06/09/2019","40,33"
"07/09/2019","40,36"
"08/09/2019","40,36"
"09/09/2019","40,36"
"10/09/2019","40,45"
"11/09/2019","40,48"
"12/09/2019","40,50"
"13/09/2019","40,53"
"14/09/2019","40,56"
"15/09/2019","40,56"
"16/09/2019","40,56"
"17/09/2019","40,67"
"18/09/2019","40,72"
"19/09/2019","40,78"
"20/09/2019","40,83"
"21/09/2019","40,88"
"22/09/2019","40,88"
"23/09/2019","40,88"
"24/09/2019","41,04"
"25/09/2019","41,10"
"26/09/2019","41,15"
"27/09/2019","41,21"
"28/09/2019","41,26"
"29/09/2019","41,26"
"30/09/2019","41,26"
"01/10/2019","41,42"
"02/10/2019","41,48"
"03/10/2019","41,53"
"04/10/2019","41,58"
"05/10/2019","41,64"
"06/10/2019","41,64"
"07/10/2019","41,64"
"08/10/2019","41,80"
"09/10/2019","41,86"
"10/10/2019","41,91"
"11/10/2019","41,97"
"12/10/2019","42,02"
"13/10/2019","42,02"
"14/10/2019","42,02"
"15/10/2019","42,02"
"16/10/2019","42,24"
"17/10/2019","42,32"
"18/10/2019","42,40"
"19/10/2019","42,48"
"20/10/2019","42,48"
"21/10/2019","42,48"
"22/10/2019","42,71"
"23/10/2019","42,79"
"24/10/2019","42,87"
"25/10/2019","42,95"
"26/10/2019","43,03"
"27/10/2019","43,03"
"28/10/2019","43,03"
"29/10/2019","43,27"
"30/10/2019","43,35"
"31/10/2019","43,43"
"01/11/2019","43,51"
"02/11/2019","43,59"
"03/11/2019","43,59"
"04/11/2019","43,59"
"05/11/2019","43,83"
"06/11/2019","43,91"
"07/11/2019","43,91"
"08/11/2019","44,08"
"09/11/2019","44,16"
"10/11/2019","44,16"
"11/11/2019","44,16"
"12/11/2019","44,40"
"13/11/2019","44,49"
"14/11/2019","44,57"
"15/11/2019","44,65"
"16/11/2019","44,73"
"17/11/2019","44,73"
"18/11/2019","44,73"
"19/11/2019","44,73"
"20/11/2019","44,93"
"21/11/2019","44,98"
"22/11/2019","45,03"
"23/11/2019","45,07"
"24/11/2019","45,07"
"25/11/2019","45,07"
"26/11/2019","45,22"
"27/11/2019","45,27"
"28/11/2019","45,32"
"29/11/2019","45,37"
"30/11/2019","45,42"
"01/12/2019","45,42"
"02/12/2019","45,42"
"03/12/2019","45,57"
"04/12/2019","45,61"
"05/12/2019","45,66"
"06/12/2019","45,71"
"07/12/2019","45,76"
"08/12/2019","45,76"
"09/12/2019","45,76"
"10/12/2019","45,91"
"11/12/2019","45,96"
"12/12/2019","46,01"
